location,current_speed,free_flow_speed,incident_count,temperature,wind_speed,weather_condition,congestion_level
Cape Town,22.0,22.0,0,24.37,4.12,clear,Low
Lagos,54.0,54.0,0,33.14,5.14,cloudy,Low
Nairobi,82.0,82.0,0,24.98,5.14,cloudy,Low
Mumbai,18.0,18.0,0,30.0,4.12,fog,Low
New Delhi,22.0,24.0,1,32.07,2.06,fog,Low
Bangalore,17.0,25.0,0,29.9,1.54,partly cloudy,Medium
Chennai,24.0,24.0,0,27.32,1.54,storm,Low
Singapore,49.0,49.0,0,28.34,2.57,cloudy,Low
Bangkok,21.0,27.0,0,31.64,4.92,partly cloudy,Medium
Kuala Lumpur,65.0,81.0,0,25.53,1.06,cloudy,Low
Jakarta,23.0,29.0,1,27.15,2.06,partly cloudy,Medium
Manila,38.0,38.0,0,29.32,2.06,cloudy,Low
Hanoi,11.0,24.0,0,25.98,5.3,partly cloudy,High
Taipei,17.0,17.0,0,25.83,5.14,rain,Low
Hong Kong,17.0,29.0,0,27.28,4.92,clear,Medium
Sydney,23.0,23.0,0,16.25,2.57,rain,Low
Melbourne,20.0,20.0,0,16.07,7.72,partly cloudy,Low
Auckland,12.0,12.0,0,10.82,1.34,clear,Low
Brisbane,21.0,21.0,0,16.96,3.6,rain,Low
Perth,18.0,18.0,0,16.93,2.57,cloudy,Low
Adelaide,22.0,22.0,0,20.67,5.66,clear,Low
New York,22.0,28.0,0,19.69,4.12,partly cloudy,Medium
Los Angeles,28.0,28.0,0,13.23,2.57,cloudy,Low
Chicago,18.0,18.0,0,8.78,5.14,cloudy,Low
Houston,18.0,18.0,0,20.71,3.6,partly cloudy,Low
Phoenix,18.0,18.0,0,22.18,3.09,cloudy,Low
Philadelphia,0.0,0.0,1,21.51,6.17,cloudy,High
San Antonio,14.0,21.0,0,18.57,4.12,clear,Medium
San Diego,15.0,15.0,0,12.2,4.63,cloudy,Low
Dallas,99.0,99.0,0,18.35,0.89,711,Low
San Jose,27.0,27.0,0,8.07,0.45,partly cloudy,Low
Austin,15.0,15.0,0,19.4,2.68,clear,Low
Jacksonville,59.0,59.0,0,23.74,5.66,cloudy,Low
Fort Worth,12.0,12.0,0,18.13,2.24,clear,Low
Columbus,33.0,33.0,0,11.01,2.57,cloudy,Low
Charlotte,14.0,14.0,0,15.58,2.06,cloudy,Low
San Francisco,13.0,13.0,0,9.73,6.69,partly cloudy,Low
Indianapolis,19.0,19.0,0,8.3,6.69,mist,Low
Seattle,14.0,14.0,0,6.77,1.34,cloudy,Low
Denver,35.0,38.0,1,13.97,1.34,clear,Low
Washington,23.0,23.0,0,18.72,5.14,rain,Low
Boston,7.0,21.0,0,21.37,7.72,cloudy,High
El Paso,41.0,41.0,0,18.49,5.81,partly cloudy,Low
Nashville,9.0,9.0,0,11.6,4.63,cloudy,Low
Detroit,17.0,17.0,0,10.58,10.8,cloudy,Low
Oklahoma City,26.0,26.0,0,16.86,1.54,partly cloudy,Low
Portland,83.0,83.0,0,5.69,1.54,partly cloudy,Low
Las Vegas,18.0,23.0,0,16.39,3.09,cloudy,Medium
Memphis,20.0,20.0,0,13.5,3.09,cloudy,Low
Louisville,18.0,18.0,0,10.31,4.12,rain,Low
Baltimore,16.0,16.0,0,19.47,3.09,rain,Low
Milwaukee,23.0,23.0,0,10.26,6.69,clear,Low
Albuquerque,17.0,17.0,0,13.73,2.06,cloudy,Low
Tucson,41.0,41.0,0,20.48,3.6,clear,Low
Fresno,31.0,31.0,0,11.45,3.09,cloudy,Low
Sacramento,32.0,32.0,0,11.71,3.6,cloudy,Low
Kansas City,20.0,20.0,0,12.5,0.45,clear,Low
Atlanta,27.0,27.0,0,14.17,5.14,cloudy,Low
Miami,7.0,7.0,0,28.29,5.14,cloudy,Low
Orlando,14.0,14.0,0,21.55,5.14,502,Low
Tampa,15.0,20.0,0,24.89,5.14,cloudy,Medium
Minneapolis,14.0,14.0,0,16.88,2.06,clear,Low
St. Louis,46.0,46.0,0,11.95,5.14,clear,Low
Cleveland,20.0,20.0,0,10.53,4.63,cloudy,Low
Cincinnati,33.0,33.0,0,9.89,2.57,mist,Low
Pittsburgh,11.0,14.0,1,16.68,0.45,cloudy,Medium
Paris,9.0,15.0,0,15.81,7.72,cloudy,Medium
London,8.0,12.0,0,12.71,5.66,partly cloudy,Medium
Berlin,16.0,21.0,0,13.66,6.71,clear,Medium
Amsterdam,21.0,30.0,0,12.35,6.69,partly cloudy,Medium
Madrid,11.0,11.0,0,15.25,7.72,cloudy,Low
Rome,29.0,29.0,0,20.47,5.14,rain,Low
Barcelona,29.0,29.0,0,20.96,5.66,mist,Low
Lisbon,24.0,24.0,0,18.01,7.2,partly cloudy,Low
Warsaw,14.0,14.0,0,15.78,9.26,clear,Low
Vienna,39.0,39.0,0,15.51,4.12,cloudy,Low
Prague,42.0,42.0,0,14.04,4.63,clear,Low
Brussels,16.0,16.0,0,13.2,5.14,partly cloudy,Low
Dublin,12.0,27.0,0,12.1,6.71,cloudy,High
Oslo,0.0,0.0,1,12.16,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.63,7.2,cloudy,Low
Copenhagen,24.0,34.0,0,10.79,7.72,partly cloudy,Medium
Helsinki,18.0,23.0,0,7.41,8.05,rain,Medium
Bucharest,21.0,21.0,0,28.58,5.81,clear,Low
Budapest,22.0,35.0,0,21.11,3.6,clear,Medium
Athens,15.0,31.0,0,24.49,5.66,partly cloudy,High
Istanbul,44.0,52.0,0,18.23,2.57,clear,Low
Dubai,80.0,80.0,0,36.01,4.12,clear,Low
Doha,20.0,40.0,0,37.94,4.12,clear,High
Tel Aviv,19.0,24.0,0,22.14,5.66,partly cloudy,Medium
Riyadh,62.0,71.0,0,39.92,6.08,partly cloudy,Low
Jeddah,81.0,81.0,0,30.95,10.15,clear,Low
Cairo,25.0,25.0,0,23.33,6.69,cloudy,Low
Johannesburg,11.0,18.0,0,15.51,1.03,clear,Medium
Cape Town,17.0,22.0,0,23.66,4.63,clear,Medium
Lagos,54.0,54.0,0,33.12,6.17,cloudy,Low
Nairobi,82.0,82.0,0,23.71,5.14,cloudy,Low
Mumbai,18.0,18.0,0,30.0,4.12,fog,Low
New Delhi,22.0,24.0,1,32.07,2.06,fog,Low
Bangalore,20.0,26.0,0,29.54,1.54,partly cloudy,Medium
Hyderabad,19.0,27.0,0,26.23,9.26,fog,Medium
Chennai,19.0,25.0,0,27.48,1.79,storm,Medium
Kolkata,23.0,23.0,0,29.96,5.66,fog,Low
Singapore,49.0,49.0,0,28.34,2.57,cloudy,Low
Bangkok,27.0,27.0,0,31.64,4.92,partly cloudy,Low
Kuala Lumpur,59.0,81.0,0,25.6,2.06,partly cloudy,Medium
Jakarta,28.0,30.0,1,27.15,2.06,partly cloudy,Low
Manila,38.0,38.0,0,29.32,2.06,cloudy,Low
Hanoi,14.0,24.0,0,26.98,5.3,partly cloudy,Medium
Taipei,17.0,17.0,0,26.09,6.17,cloudy,Low
Hong Kong,16.0,28.0,0,27.04,5.36,clear,Medium
Sydney,23.0,23.0,0,16.22,2.57,rain,Low
Melbourne,20.0,20.0,0,15.99,8.23,partly cloudy,Low
Auckland,12.0,12.0,0,10.82,1.54,clear,Low
Brisbane,14.0,20.0,0,16.77,3.6,rain,Medium
Perth,18.0,18.0,0,16.63,2.06,cloudy,Low
Adelaide,17.0,21.0,0,20.64,6.17,clear,Low
New York,28.0,28.0,0,20.53,4.92,partly cloudy,Low
Los Angeles,28.0,28.0,0,13.43,2.57,cloudy,Low
Chicago,18.0,18.0,0,9.78,5.14,cloudy,Low
Houston,18.0,18.0,0,22.31,1.79,clear,Low
Phoenix,18.0,18.0,0,22.36,5.14,cloudy,Low
Philadelphia,8.0,12.0,0,21.65,6.17,cloudy,Medium
San Antonio,11.0,22.0,0,20.37,5.64,clear,High
San Diego,15.0,15.0,0,12.36,4.63,cloudy,Low
Dallas,99.0,99.0,0,19.92,1.79,clear,Low
San Jose,27.0,27.0,0,9.71,0.0,partly cloudy,Low
Austin,15.0,15.0,0,20.7,1.79,clear,Low
Jacksonville,59.0,59.0,0,25.64,4.12,clear,Low
Fort Worth,12.0,12.0,0,19.87,1.79,clear,Low
Columbus,33.0,33.0,0,12.14,2.57,cloudy,Low
Charlotte,14.0,14.0,0,16.98,2.57,cloudy,Low
San Francisco,13.0,13.0,0,10.69,6.69,partly cloudy,Low
Indianapolis,19.0,19.0,0,8.15,4.63,mist,Low
Seattle,14.0,14.0,0,7.73,0.89,partly cloudy,Low
Denver,34.0,38.0,1,15.08,1.79,clear,Low
Washington,23.0,23.0,0,19.51,7.2,cloudy,Low
Boston,9.0,22.0,0,21.62,7.72,cloudy,High
El Paso,41.0,41.0,0,19.55,2.68,partly cloudy,Low
Nashville,9.0,9.0,0,11.86,4.63,cloudy,Low
Detroit,17.0,17.0,0,10.6,10.8,cloudy,Low
Oklahoma City,26.0,26.0,0,18.32,1.79,partly cloudy,Low
Portland,83.0,83.0,0,7.32,1.54,partly cloudy,Low
Las Vegas,23.0,23.0,0,15.93,3.09,cloudy,Low
Memphis,20.0,20.0,0,13.51,3.09,cloudy,Low
Louisville,18.0,18.0,0,10.55,3.6,rain,Low
Baltimore,16.0,16.0,0,19.77,4.12,rain,Low
Milwaukee,23.0,23.0,0,11.07,6.17,clear,Low
Albuquerque,17.0,17.0,0,14.35,0.89,cloudy,Low
Tucson,41.0,41.0,0,21.75,3.58,cloudy,Low
Fresno,31.0,31.0,0,11.86,3.09,cloudy,Low
Sacramento,32.0,32.0,0,13.22,3.6,clear,Low
Kansas City,20.0,20.0,0,15.02,0.89,clear,Low
Atlanta,20.0,27.0,0,15.45,3.09,cloudy,Medium
Miami,5.0,7.0,0,28.69,5.14,cloudy,Medium
Orlando,14.0,14.0,0,20.02,5.66,rain,Low
Tampa,20.0,20.0,0,25.72,5.14,cloudy,Low
Minneapolis,14.0,14.0,0,19.13,2.06,clear,Low
St. Louis,34.0,46.0,0,12.09,5.14,clear,Medium
Cleveland,20.0,20.0,0,10.89,5.14,cloudy,Low
Cincinnati,33.0,33.0,0,10.29,3.6,mist,Low
Pittsburgh,9.0,15.0,1,16.6,3.6,cloudy,Medium
Paris,11.0,15.0,0,15.4,6.17,cloudy,Medium
London,13.0,13.0,0,12.86,5.66,cloudy,Low
Berlin,14.0,20.0,0,13.7,7.2,clear,Medium
Amsterdam,24.0,31.0,0,12.64,5.66,partly cloudy,Medium
Madrid,11.0,11.0,0,15.13,6.69,partly cloudy,Low
Rome,16.0,28.0,0,20.19,5.14,rain,Medium
Barcelona,29.0,29.0,0,21.4,5.66,mist,Low
Lisbon,24.0,24.0,0,18.14,7.2,cloudy,Low
Warsaw,14.0,14.0,0,15.07,8.75,clear,Low
Vienna,39.0,39.0,0,15.47,3.6,cloudy,Low
Prague,42.0,42.0,0,14.25,4.63,clear,Low
Brussels,16.0,16.0,0,13.54,5.14,partly cloudy,Low
Dublin,21.0,27.0,0,12.49,5.66,partly cloudy,Medium
Oslo,0.0,0.0,1,12.16,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.82,8.23,cloudy,Low
Copenhagen,26.0,35.0,0,11.07,7.72,partly cloudy,Medium
Helsinki,17.0,23.0,0,7.48,6.69,cloudy,Medium
Bucharest,21.0,21.0,0,28.65,5.81,clear,Low
Budapest,26.0,34.0,0,20.29,3.6,clear,Medium
Athens,25.0,31.0,0,24.9,5.66,partly cloudy,Low
Istanbul,44.0,52.0,0,18.32,2.57,clear,Low
Dubai,80.0,80.0,0,36.01,2.57,clear,Low
Doha,21.0,40.0,0,36.94,4.12,clear,Medium
Tel Aviv,20.0,24.0,0,21.21,5.66,partly cloudy,Low
Riyadh,68.0,71.0,0,39.92,6.63,cloudy,Low
Jeddah,81.0,81.0,0,30.95,9.65,clear,Low
Cairo,25.0,25.0,0,23.33,6.69,cloudy,Low
Johannesburg,19.0,19.0,0,15.24,1.03,clear,Low
Cape Town,16.0,22.0,0,21.85,4.63,clear,Medium
Lagos,54.0,54.0,0,33.12,6.17,cloudy,Low
Nairobi,82.0,82.0,0,25.02,5.14,cloudy,Low
Mumbai,18.0,18.0,0,29.0,3.09,fog,Low
New Delhi,23.0,24.0,1,31.07,2.57,fog,Low
Bangalore,19.0,26.0,0,29.03,1.54,partly cloudy,Medium
Hyderabad,21.0,27.0,0,27.23,9.26,fog,Medium
Chennai,19.0,24.0,0,27.17,3.13,storm,Medium
Kolkata,23.0,23.0,0,29.96,5.14,fog,Low
Singapore,49.0,49.0,0,28.34,2.57,cloudy,Low
Bangkok,27.0,27.0,0,30.37,5.01,partly cloudy,Low
Kuala Lumpur,82.0,82.0,0,25.6,2.06,partly cloudy,Low
Jakarta,30.0,30.0,1,27.15,2.06,partly cloudy,Low
Manila,38.0,38.0,0,29.32,2.06,cloudy,Low
Hanoi,18.0,25.0,0,26.98,5.77,partly cloudy,Medium
Taipei,17.0,17.0,0,25.92,6.17,rain,Low
Hong Kong,16.0,28.0,0,27.45,4.92,clear,Medium
Sydney,23.0,23.0,0,15.92,1.54,rain,Low
Melbourne,20.0,20.0,0,15.72,7.72,partly cloudy,Low
Auckland,12.0,12.0,0,10.24,2.06,clear,Low
Brisbane,21.0,21.0,0,16.76,2.57,rain,Low
Perth,18.0,18.0,0,16.38,3.09,partly cloudy,Low
Adelaide,22.0,22.0,0,20.15,6.69,clear,Low
New York,21.0,28.0,0,20.96,5.66,clear,Medium
Los Angeles,20.0,28.0,0,13.95,2.57,cloudy,Medium
Chicago,18.0,18.0,0,10.49,5.66,cloudy,Low
Houston,18.0,18.0,0,22.83,4.12,partly cloudy,Low
Phoenix,13.0,17.0,0,22.66,5.14,cloudy,Medium
Philadelphia,13.0,13.0,0,21.35,4.12,cloudy,Low
San Antonio,22.0,22.0,0,20.91,5.14,cloudy,Low
San Diego,15.0,15.0,0,12.63,4.63,cloudy,Low
Dallas,99.0,99.0,0,20.84,3.09,711,Low
San Jose,27.0,27.0,0,11.06,1.79,partly cloudy,Low
Austin,15.0,15.0,0,21.63,4.63,clear,Low
Jacksonville,36.0,59.0,0,26.34,7.72,partly cloudy,Medium
Fort Worth,12.0,12.0,0,20.78,2.24,clear,Low
Columbus,24.0,32.0,0,12.98,0.45,cloudy,Medium
Charlotte,14.0,14.0,0,17.21,2.57,cloudy,Low
San Francisco,13.0,13.0,0,11.08,6.17,partly cloudy,Low
Indianapolis,19.0,19.0,0,8.07,6.17,mist,Low
Seattle,14.0,14.0,0,8.36,1.54,cloudy,Low
Denver,33.0,37.0,1,16.01,1.34,clear,Low
Washington,23.0,23.0,0,19.91,4.63,cloudy,Low
Boston,12.0,21.0,0,21.78,7.72,cloudy,Medium
El Paso,41.0,41.0,0,19.81,2.68,partly cloudy,Low
Nashville,9.0,9.0,0,12.34,5.66,rain,Low
Detroit,17.0,17.0,0,10.75,9.26,rain,Low
Oklahoma City,26.0,26.0,0,18.77,1.79,partly cloudy,Low
Portland,83.0,83.0,0,8.27,1.54,partly cloudy,Low
Las Vegas,23.0,23.0,0,15.45,7.2,cloudy,Low
Memphis,20.0,20.0,0,14.29,3.09,cloudy,Low
Louisville,18.0,18.0,0,10.49,2.06,rain,Low
Baltimore,16.0,16.0,0,19.81,4.12,cloudy,Low
Milwaukee,15.0,23.0,0,11.8,6.17,clear,Medium
Albuquerque,12.0,16.0,0,14.86,2.57,cloudy,Medium
Tucson,41.0,41.0,0,22.41,4.47,clear,Low
Fresno,31.0,31.0,0,12.59,4.12,cloudy,Low
Sacramento,32.0,32.0,0,14.84,7.72,clear,Low
Kansas City,20.0,20.0,0,15.38,1.34,clear,Low
Atlanta,20.0,26.0,0,16.12,4.12,cloudy,Medium
Miami,7.0,7.0,0,28.6,4.12,cloudy,Low
Orlando,14.0,14.0,0,19.74,4.63,mist,Low
Tampa,16.0,20.0,0,26.24,4.63,cloudy,Medium
Minneapolis,14.0,14.0,0,19.97,2.06,clear,Low
St. Louis,46.0,46.0,0,12.49,3.6,cloudy,Low
Cleveland,20.0,20.0,0,11.21,6.17,cloudy,Low
Cincinnati,33.0,33.0,0,10.35,3.6,mist,Low
Pittsburgh,8.0,15.0,1,16.81,4.12,cloudy,Medium
Paris,16.0,16.0,0,15.24,7.2,cloudy,Low
London,13.0,13.0,0,12.53,4.12,cloudy,Low
Berlin,14.0,21.0,0,13.83,6.26,partly cloudy,Medium
Amsterdam,16.0,32.0,0,12.32,6.69,partly cloudy,High
Madrid,9.0,11.0,0,15.53,8.23,partly cloudy,Low
Rome,29.0,29.0,0,19.83,4.12,partly cloudy,Low
Barcelona,29.0,29.0,0,21.4,7.2,partly cloudy,Low
Lisbon,24.0,24.0,0,18.23,7.2,partly cloudy,Low
Warsaw,14.0,14.0,0,14.67,8.23,clear,Low
Vienna,39.0,39.0,0,15.23,2.57,cloudy,Low
Prague,29.0,41.0,0,14.51,5.14,clear,Medium
Brussels,16.0,16.0,0,13.58,5.66,partly cloudy,Low
Dublin,13.0,29.0,0,11.92,5.14,partly cloudy,High
Oslo,0.0,0.0,1,12.13,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.93,7.72,clear,Low
Copenhagen,30.0,34.0,0,10.44,7.72,partly cloudy,Low
Helsinki,17.0,22.0,0,7.32,8.05,cloudy,Medium
Bucharest,21.0,21.0,0,28.73,4.63,clear,Low
Budapest,25.0,34.0,0,20.29,3.6,clear,Medium
Athens,31.0,31.0,0,24.61,6.69,clear,Low
Istanbul,47.0,52.0,0,20.17,1.54,clear,Low
Dubai,80.0,80.0,0,36.01,3.09,clear,Low
Doha,22.0,40.0,0,36.94,3.09,clear,Medium
Tel Aviv,19.0,24.0,0,21.13,5.14,partly cloudy,Medium
Riyadh,64.0,72.0,0,39.92,6.63,cloudy,Low
Jeddah,81.0,81.0,0,29.95,9.65,clear,Low
Cairo,25.0,25.0,0,23.33,4.63,partly cloudy,Low
Johannesburg,13.0,19.0,0,14.54,0.51,clear,Medium
Cape Town,18.0,22.0,0,21.38,3.6,clear,Low
Lagos,54.0,54.0,0,33.12,5.14,partly cloudy,Low
Nairobi,82.0,82.0,0,19.56,3.13,cloudy,Low
Mumbai,18.0,18.0,0,29.0,3.09,fog,Low
New Delhi,23.0,24.0,1,30.07,2.57,fog,Low
Bangalore,21.0,26.0,0,29.42,1.54,partly cloudy,Low
Hyderabad,18.0,28.0,0,28.23,5.66,fog,Medium
Chennai,24.0,24.0,0,26.85,6.17,cloudy,Low
Kolkata,18.0,22.0,0,29.96,5.14,fog,Low
Singapore,49.0,49.0,0,28.34,2.06,cloudy,Low
Bangkok,27.0,27.0,0,30.37,5.01,partly cloudy,Low
Kuala Lumpur,82.0,82.0,0,25.6,1.54,partly cloudy,Low
Jakarta,28.0,29.0,1,27.15,1.54,partly cloudy,Low
Manila,38.0,38.0,0,29.32,2.06,partly cloudy,Low
Hanoi,20.0,24.0,0,26.98,5.77,partly cloudy,Low
Taipei,17.0,17.0,0,25.78,7.72,rain,Low
Hong Kong,15.0,28.0,0,27.01,4.92,clear,Medium
Sydney,23.0,23.0,0,15.56,2.06,rain,Low
Melbourne,20.0,20.0,0,15.51,9.77,partly cloudy,Low
Auckland,12.0,12.0,0,10.25,2.06,clear,Low
Brisbane,15.0,20.0,0,16.94,2.57,rain,Medium
Perth,18.0,18.0,0,15.82,3.6,partly cloudy,Low
Adelaide,22.0,22.0,0,20.02,7.2,partly cloudy,Low
New York,28.0,28.0,0,19.24,5.14,rain,Low
Los Angeles,28.0,28.0,0,14.84,2.06,cloudy,Low
Chicago,18.0,18.0,0,11.29,6.17,cloudy,Low
Houston,13.0,18.0,0,25.27,3.6,partly cloudy,Medium
Phoenix,18.0,18.0,0,23.83,4.47,cloudy,Low
Philadelphia,8.0,12.0,0,20.11,3.6,rain,Medium
San Antonio,22.0,22.0,0,23.83,5.66,cloudy,Low
San Diego,15.0,15.0,0,13.9,4.63,cloudy,Low
Dallas,99.0,99.0,0,23.38,2.68,partly cloudy,Low
San Jose,17.0,25.0,0,14.98,2.57,partly cloudy,Medium
Austin,15.0,15.0,0,25.19,3.09,partly cloudy,Low
Jacksonville,59.0,59.0,0,29.05,7.72,cloudy,Low
Fort Worth,12.0,12.0,0,22.88,4.02,clear,Low
Columbus,33.0,33.0,0,15.1,2.57,rain,Low
Charlotte,14.0,14.0,0,21.01,5.66,cloudy,Low
San Francisco,10.0,12.0,0,14.41,4.12,partly cloudy,Low
Indianapolis,19.0,19.0,0,8.22,5.66,cloudy,Low
Seattle,10.0,14.0,0,11.01,2.57,partly cloudy,Medium
Denver,32.0,38.0,1,19.76,1.79,clear,Low
Washington,17.0,22.0,0,20.69,6.17,cloudy,Medium
Boston,10.0,20.0,0,24.64,3.09,cloudy,High
El Paso,29.0,41.0,0,22.88,4.63,partly cloudy,Medium
Nashville,7.0,8.0,0,13.85,4.12,cloudy,Low
Detroit,12.0,16.0,0,9.63,7.72,rain,Medium
Oklahoma City,26.0,26.0,0,21.25,3.09,partly cloudy,Low
Portland,83.0,83.0,0,11.49,4.12,partly cloudy,Low
Las Vegas,23.0,23.0,0,16.17,6.69,cloudy,Low
Memphis,20.0,20.0,0,16.27,4.12,cloudy,Low
Louisville,18.0,18.0,0,10.87,2.68,rain,Low
Baltimore,16.0,16.0,0,20.74,4.63,cloudy,Low
Milwaukee,23.0,23.0,0,14.58,7.72,clear,Low
Albuquerque,17.0,17.0,0,19.57,0.89,cloudy,Low
Tucson,27.0,41.0,0,23.96,8.23,cloudy,Medium
Fresno,19.0,30.0,0,16.08,3.09,cloudy,Medium
Sacramento,32.0,32.0,0,18.63,7.72,clear,Low
Kansas City,20.0,20.0,0,17.95,0.45,partly cloudy,Low
Atlanta,21.0,27.0,0,18.94,4.12,partly cloudy,Medium
Miami,7.0,7.0,0,27.39,6.17,cloudy,Low
Orlando,14.0,14.0,0,25.73,4.63,clear,Low
Tampa,20.0,20.0,0,29.17,5.66,partly cloudy,Low
Minneapolis,14.0,14.0,0,23.88,2.06,clear,Low
St. Louis,46.0,46.0,0,14.55,4.63,partly cloudy,Low
Cleveland,17.0,20.0,0,13.09,5.14,cloudy,Low
